f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
10,1,0,0.2095845022,1,trans,0.8363455593,0.3585738709,0.8280491155
10,1,0,0.2095845022,1,refl,-0.1620388282,0.3678416893,0.1615640902
10.024,1,0,0.210087505,1,trans,0.8354958353,0.3594049283,0.8272251933
10.024,1,0,0.210087505,1,refl,-0.1630217143,0.3688126425,0.1625988446
10.048,1,0,0.2105905078,1,trans,0.834611967,0.3602521666,0.826358759
10.048,1,0,0.2105905078,1,refl,-0.1640236697,0.3697842936,0.163644188
10.072,1,0,0.2110935106,1,trans,0.8336951555,0.3611144057,0.8254512264
10.072,1,0,0.2110935106,1,refl,-0.1650441713,0.3707565353,0.1646999869
10.096,1,0,0.2115965134,1,trans,0.8327465935,0.3619905049,0.8245040146
10.096,1,0,0.2115965134,1,refl,-0.166082703,0.3717292609,0.1657661077
10.12,1,0,0.2120995162,1,trans,0.8317674627,0.3628793628,0.8235185439
10.12,1,0,0.2120995162,1,refl,-0.1671387556,0.3727023651,0.1668424166
10.144,1,0,0.212602519,1,trans,0.8307589327,0.3637799187,0.8224962334
10.144,1,0,0.212602519,1,refl,-0.1682118281,0.3736757436,0.1679287804
10.168,1,0,0.2131055218,1,trans,0.8297221589,0.364691152,0.8214384974
10.168,1,0,0.2131055218,1,refl,-0.1693014276,0.374649294,0.1690250669
10.192,1,0,0.2136085246,1,trans,0.8286582812,0.3656120834,0.8203467426
10.192,1,0,0.2136085246,1,refl,-0.1704070701,0.375622916,0.1701311446
10.216,1,0,0.2141115274,1,trans,0.8275684219,0.3665417741,0.8192223651
10.216,1,0,0.2141115274,1,refl,-0.1715282811,0.3765965116,0.1712468838
10.24,1,0,0.2146145302,1,trans,0.8264536844,0.3674793265,0.8180667479
10.24,1,0,0.2146145302,1,refl,-0.172664596,0.3775699853,0.1723721565
10.264,1,0,0.2151175331,1,trans,0.8253151518,0.3684238839,0.816881258
10.264,1,0,0.2151175331,1,refl,-0.1738155605,0.3785432443,0.1735068368
10.288,1,0,0.2156205359,1,trans,0.8241538851,0.36937463,0.8156672436
10.288,1,0,0.2156205359,1,refl,-0.1749807311,0.3795161989,0.1746508015
10.312,1,0,0.2161235387,1,trans,0.8229709223,0.370330789,0.8144260323
10.312,1,0,0.2161235387,1,refl,-0.1761596757,0.3804887628,0.1758039299
10.336,1,0,0.2166265415,1,trans,0.8217672768,0.3712916252,0.8131589282
10.336,1,0,0.2166265415,1,refl,-0.1773519737,0.3814608527,0.1769661047
10.36,1,0,0.2171295443,1,trans,0.8205439361,0.3722564421,0.8118672097
10.36,1,0,0.2171295443,1,refl,-0.178557217,0.3824323889,0.1781372118
10.384,1,0,0.2176325471,1,trans,0.8193018608,0.3732245822,0.8105521279
10.384,1,0,0.2176325471,1,refl,-0.1797750096,0.3834032954,0.179317141
10.408,1,0,0.2181355499,1,trans,0.8180419837,0.3741954265,0.8092149043
10.408,1,0,0.2181355499,1,refl,-0.1810049686,0.3843735,0.1805057861
10.432,1,0,0.2186385527,1,trans,0.8167652085,0.3751683932,0.807856729
10.432,1,0,0.2186385527,1,refl,-0.1822467243,0.3853429339,0.1817030452
10.456,1,0,0.2191415555,1,trans,0.8154724089,0.3761429375,0.8064787592
10.456,1,0,0.2191415555,1,refl,-0.1834999206,0.3863115325,0.182908821
10.48,1,0,0.2196445583,1,trans,0.8141644282,0.3771185505,0.8050821174
10.48,1,0,0.2196445583,1,refl,-0.1847642153,0.3872792348,0.184123021
10.504,1,0,0.2201475611,1,trans,0.8128420781,0.3780947585,0.8036678903
10.504,1,0,0.2201475611,1,refl,-0.1860392801,0.3882459841,0.1853455579
10.528,1,0,0.2206505639,1,trans,0.811506138,0.3790711216,0.8022371273
10.528,1,0,0.2206505639,1,refl,-0.1873248015,0.389211727,0.1865763497
10.552,1,0,0.2211535667,1,trans,0.810157355,0.3800472332,0.8007908394
10.552,1,0,0.2211535667,1,refl,-0.1886204803,0.3901764144,0.1878153199
10.576,1,0,0.2216565695,1,trans,0.8087964428,0.381022719,0.7993299983
10.576,1,0,0.2216565695,1,refl,-0.1899260325,0.3911400008,0.189062398
10.6,1,0,0.2221595723,1,trans,0.8074240815,0.3819972354,0.7978555353
10.6,1,0,0.2221595723,1,refl,-0.1912411888,0.3921024445,0.1903175193
10.624,1,0,0.2226625751,1,trans,0.8060409175,0.3829704689,0.7963683407
10.624,1,0,0.2226625751,1,refl,-0.1925656953,0.3930637076,0.1915806252
10.648,1,0,0.2231655779,1,trans,0.8046475627,0.3839421349,0.7948692631
10.648,1,0,0.2231655779,1,refl,-0.1938993135,0.3940237555,0.1928516637
10.672,1,0,0.2236685807,1,trans,0.803244595,0.3849119763,0.7933591089
10.672,1,0,0.2236685807,1,refl,-0.1952418202,0.3949825574,0.194130589
10.696,1,0,0.2241715835,1,trans,0.8018325575,0.3858797628,0.7918386417
10.696,1,0,0.2241715835,1,refl,-0.196593008,0.3959400857,0.1954173622
10.72,1,0,0.2246745864,1,trans,0.8004119592,0.3868452892,0.7903085823
10.72,1,0,0.2246745864,1,refl,-0.1979526849,0.3968963159,0.196711951
10.744,1,0,0.2251775892,1,trans,0.7989832744,0.3878083747,0.7887696082
10.744,1,0,0.2251775892,1,refl,-0.1993206746,0.3978512269,0.1980143301
10.768,1,0,0.225680592,1,trans,0.797546943,0.3887688613,0.7872223539
10.768,1,0,0.225680592,1,refl,-0.2006968165,0.3988048003,0.1993244809
10.792,1,0,0.2261835948,1,trans,0.796103371,0.3897266132,0.7856674104
10.792,1,0,0.2261835948,1,refl,-0.2020809659,0.3997570206,0.2006423923
10.816,1,0,0.2266865976,1,trans,0.7946529302,0.3906815148,0.7841053255
10.816,1,0,0.2266865976,1,refl,-0.2034729934,0.4007078748,0.20196806
10.84,1,0,0.2271896004,1,trans,0.793195959,0.3916334702,0.7825366044
10.84,1,0,0.2271896004,1,refl,-0.2048727853,0.4016573524,0.2033014869
10.864,1,0,0.2276926032,1,trans,0.7917327623,0.3925824019,0.7809617092
10.864,1,0,0.2276926032,1,refl,-0.2062802436,0.402605445,0.2046426833
10.888,1,0,0.228195606,1,trans,0.7902636123,0.3935282493,0.7793810599
10.888,1,0,0.228195606,1,refl,-0.2076952856,0.4035521464,0.2059916665
10.912,1,0,0.2286986088,1,trans,0.7887887487,0.3944709678,0.7777950345
10.912,1,0,0.2286986088,1,refl,-0.2091178437,0.4044974521,0.2073484614
10.936,1,0,0.2292016116,1,trans,0.7873083792,0.3954105279,0.7762039696
10.936,1,0,0.2292016116,1,refl,-0.2105478659,0.4054413593,0.2087130997
10.96,1,0,0.2297046144,1,trans,0.7858226804,0.3963469137,0.774608161
10.96,1,0,0.2297046144,1,refl,-0.2119853148,0.4063838665,0.2100856206
10.984,1,0,0.2302076172,1,trans,0.7843317979,0.3972801217,0.7730078642
10.984,1,0,0.2302076172,1,refl,-0.2134301681,0.4073249734,0.2114660706
11.008,1,0,0.23071062,1,trans,0.7828358473,0.3982101602,0.7714032955
11.008,1,0,0.23071062,1,refl,-0.214882418,0.4082646808,0.2128545032
11.032,1,0,0.2312136228,1,trans,0.7813349147,0.399137048,0.769794632
11.032,1,0,0.2312136228,1,refl,-0.2163420712,0.4092029902,0.2142509789
11.056,1,0,0.2317166256,1,trans,0.7798290576,0.4000608131,0.7681820133
11.056,1,0,0.2317166256,1,refl,-0.2178091484,0.4101399035,0.2156555655
11.08,1,0,0.2322196284,1,trans,0.7783183054,0.4009814922,0.7665655416
11.08,1,0,0.2322196284,1,refl,-0.2192836845,0.411075423,0.2170683377
11.104,1,0,0.2327226312,1,trans,0.7768026602,0.4018991294,0.7649452831
11.104,1,0,0.2327226312,1,refl,-0.2207657279,0.4120095511,0.2184893768
11.128,1,0,0.233225634,1,trans,0.7752820978,0.4028137751,0.7633212686
11.128,1,0,0.233225634,1,refl,-0.2222553404,0.4129422901,0.2199187713
11.152,1,0,0.2337286368,1,trans,0.7737565685,0.4037254853,0.7616934948
11.152,1,0,0.2337286368,1,refl,-0.223752597,0.4138736417,0.221356616
11.176,1,0,0.2342316397,1,trans,0.7722259976,0.4046343209,0.7600619251
11.176,1,0,0.2342316397,1,refl,-0.2252575855,0.4148036073,0.2228030124
11.2,1,0,0.2347346425,1,trans,0.7706902868,0.4055403461,0.7584264904
11.2,1,0,0.2347346425,1,refl,-0.226770406,0.4157321872,0.2242580685
11.224,1,0,0.2352376453,1,trans,0.7691493144,0.4064436284,0.7567870909
11.224,1,0,0.2352376453,1,refl,-0.228291171,0.416659381,0.2257218985
11.248,1,0,0.2357406481,1,trans,0.7676029369,0.4073442372,0.7551435964
11.248,1,0,0.2357406481,1,refl,-0.2298200046,0.4175851868,0.2271946227
11.272,1,0,0.2362436509,1,trans,0.7660509896,0.4082422432,0.7534958478
11.272,1,0,0.2362436509,1,refl,-0.2313570426,0.4185096013,0.2286763675
11.296,1,0,0.2367466537,1,trans,0.7644932873,0.4091377176,0.7518436584
11.296,1,0,0.2367466537,1,refl,-0.2329024317,0.4194326196,0.230167265
11.32,1,0,0.2372496565,1,trans,0.7629296256,0.4100307316,0.7501868144
11.32,1,0,0.2372496565,1,refl,-0.2344563295,0.4203542348,0.2316674531
11.344,1,0,0.2377526593,1,trans,0.7613597814,0.4109213552,0.7485250769
11.344,1,0,0.2377526593,1,refl,-0.2360189039,0.4212744381,0.2331770752
11.368,1,0,0.2382556621,1,trans,0.7597835144,0.411809657,0.7468581823
11.368,1,0,0.2382556621,1,refl,-0.237590333,0.4221932184,0.23469628
11.392,1,0,0.2387586649,1,trans,0.7582005674,0.4126957033,0.745185844
11.392,1,0,0.2387586649,1,refl,-0.2391708043,0.423110562,0.2362252213
11.416,1,0,0.2392616677,1,trans,0.7566106679,0.4135795578,0.7435077534
11.416,1,0,0.2392616677,1,refl,-0.2407605147,0.4240264526,0.237764058
11.44,1,0,0.2397646705,1,trans,0.7550135282,0.4144612806,0.7418235809
11.44,1,0,0.2397646705,1,refl,-0.2423596701,0.4249408713,0.2393129538
11.464,1,0,0.2402676733,1,trans,0.7534088472,0.4153409278,0.7401329773
11.464,1,0,0.2402676733,1,refl,-0.2439684846,0.4258537959,0.240872077
11.488,1,0,0.2407706761,1,trans,0.7517963107,0.4162185511,0.7384355751
11.488,1,0,0.2407706761,1,refl,-0.2455871808,0.4267652012,0.2424416003
11.512,1,0,0.2412736789,1,trans,0.7501755924,0.4170941975,0.7367309891
11.512,1,0,0.2412736789,1,refl,-0.2472159886,0.4276750586,0.2440217008
11.536,1,0,0.2417766817,1,trans,0.7485463553,0.4179679082,0.7350188183
11.536,1,0,0.2417766817,1,refl,-0.2488551457,0.428583336,0.2456125595
11.56,1,0,0.2422796845,1,trans,0.7469082516,0.4188397189,0.7332986464
11.56,1,0,0.2422796845,1,refl,-0.2505048965,0.4294899977,0.2472143613
11.584,1,0,0.2427826873,1,trans,0.7452609247,0.4197096588,0.7315700436
11.584,1,0,0.2427826873,1,refl,-0.2521654921,0.4303950042,0.2488272951
11.608,1,0,0.2432856901,1,trans,0.7436040092,0.4205777508,0.7298325669
11.608,1,0,0.2432856901,1,refl,-0.2538371899,0.4312983119,0.2504515528
11.632,1,0,0.243788693,1,trans,0.7419371321,0.4214440106,0.7280857621
11.632,1,0,0.243788693,1,refl,-0.2555202529,0.4321998734,0.2520873302
11.656,1,0,0.2442916958,1,trans,0.7402599136,0.4223084468,0.726329164
11.656,1,0,0.2442916958,1,refl,-0.25721495,0.4330996369,0.253734826
11.68,1,0,0.2447946986,1,trans,0.738571968,0.4231710606,0.7245622984
11.68,1,0,0.2447946986,1,refl,-0.258921555,0.4339975463,0.2553942418
11.704,1,0,0.2452977014,1,trans,0.736872904,0.4240318452,0.7227846824
11.704,1,0,0.2452977014,1,refl,-0.2606403467,0.4348935411,0.2570657824
11.728,1,0,0.2458007042,1,trans,0.7351623261,0.424890786,0.7209958258
11.728,1,0,0.2458007042,1,refl,-0.2623716082,0.4357875562,0.2587496549
11.752,1,0,0.246303707,1,trans,0.7334398351,0.42574786,0.719195232
11.752,1,0,0.246303707,1,refl,-0.2641156268,0.4366795219,0.2604460692
11.776,1,0,0.2468067098,1,trans,0.7317050283,0.4266030361,0.7173823989
11.776,1,0,0.2468067098,1,refl,-0.2658726939,0.4375693637,0.2621552374
11.8,1,0,0.2473097126,1,trans,0.7299575012,0.4274562744,0.7155568201
11.8,1,0,0.2473097126,1,refl,-0.267643104,0.4384570023,0.263877374
11.824,1,0,0.2478127154,1,trans,0.7281968471,0.4283075266,0.7137179855
11.824,1,0,0.2478127154,1,refl,-0.2694271554,0.4393423532,0.2656126954
11.848,1,0,0.2483157182,1,trans,0.7264226585,0.4291567356,0.7118653825
11.848,1,0,0.2483157182,1,refl,-0.2712251489,0.4402253273,0.2673614202
11.872,1,0,0.248818721,1,trans,0.7246345272,0.4300038354,0.7099984965
11.872,1,0,0.248818721,1,refl,-0.2730373883,0.4411058301,0.2691237687
11.896,1,0,0.2493217238,1,trans,0.7228320452,0.4308487512,0.708116812
11.896,1,0,0.2493217238,1,refl,-0.2748641798,0.4419837619,0.2708999631
11.92,1,0,0.2498247266,1,trans,0.7210148049,0.4316913994,0.7062198132
11.92,1,0,0.2498247266,1,refl,-0.2767058318,0.4428590179,0.2726902271
11.944,1,0,0.2503277294,1,trans,0.7191823998,0.4325316874,0.7043069848
11.944,1,0,0.2503277294,1,refl,-0.2785626548,0.443731488,0.2744947861
11.968,1,0,0.2508307322,1,trans,0.717334425,0.4333695137,0.7023778128
11.968,1,0,0.2508307322,1,refl,-0.2804349612,0.4446010566,0.276313867
11.992,1,0,0.251333735,1,trans,0.7154704776,0.434204768,0.7004317848
11.992,1,0,0.251333735,1,refl,-0.2823230649,0.4454676028,0.2781476982
12.016,1,0,0.2518367378,1,trans,0.7135901566,0.4350373311,0.698468391
12.016,1,0,0.2518367378,1,refl,-0.2842272815,0.4463310002,0.2799965093
12.04,1,0,0.2523397406,1,trans,0.7116930641,0.4358670751,0.6964871247
12.04,1,0,0.2523397406,1,refl,-0.2861479278,0.4471911167,0.2818605315
12.064,1,0,0.2528427434,1,trans,0.7097788049,0.4366938634,0.6944874823
12.064,1,0,0.2528427434,1,refl,-0.288085322,0.448047815,0.2837399973
12.088,1,0,0.2533457463,1,trans,0.7078469871,0.4375175508,0.6924689644
12.088,1,0,0.2533457463,1,refl,-0.2900397834,0.4489009518,0.2856351405
12.112,1,0,0.2538487491,1,trans,0.705897222,0.4383379837,0.690431076
12.112,1,0,0.2538487491,1,refl,-0.2920116325,0.4497503785,0.2875461965
12.136,1,0,0.2543517519,1,trans,0.7039291247,0.4391550001,0.6883733266
12.136,1,0,0.2543517519,1,refl,-0.2940011907,0.4505959405,0.2894734017
12.16,1,0,0.2548547547,1,trans,0.7019423137,0.4399684296,0.6862952308
12.16,1,0,0.2548547547,1,refl,-0.2960087807,0.4514374777,0.2914169945
12.184,1,0,0.2553577575,1,trans,0.6999364117,0.4407780938,0.6841963083
12.184,1,0,0.2553577575,1,refl,-0.298034726,0.4522748241,0.2933772144
12.208,1,0,0.2558607603,1,trans,0.6979110447,0.4415838063,0.6820760843
12.208,1,0,0.2558607603,1,refl,-0.3000793515,0.453107808,0.2953543029
12.232,1,0,0.2563637631,1,trans,0.6958658427,0.442385373,0.6799340893
12.232,1,0,0.2563637631,1,refl,-0.3021429831,0.4539362518,0.2973485029
12.256,1,0,0.2568667659,1,trans,0.6938004394,0.4431825919,0.6777698594
12.256,1,0,0.2568667659,1,refl,-0.3042259481,0.454759972,0.2993600596
12.28,1,0,0.2573697687,1,trans,0.6917144719,0.4439752536,0.6755829364
12.28,1,0,0.2573697687,1,refl,-0.3063285752,0.4555787791,0.30138922
12.304,1,0,0.2578727715,1,trans,0.6896075808,0.4447631411,0.6733728672
12.304,1,0,0.2578727715,1,refl,-0.3084511947,0.4563924778,0.3034362334
12.328,1,0,0.2583757743,1,trans,0.6874794098,0.4455460304,0.6711392041
12.328,1,0,0.2583757743,1,refl,-0.3105941388,0.4572008667,0.3055013515
12.352,1,0,0.2588787771,1,trans,0.6853296054,0.4463236903,0.6688815045
12.352,1,0,0.2588787771,1,refl,-0.3127577415,0.458003738,0.3075848289
12.376,1,0,0.2593817799,1,trans,0.6831578167,0.4470958823,0.6665993305
12.376,1,0,0.2593817799,1,refl,-0.3149423395,0.4588008782,0.3096869231
12.4,1,0,0.2598847827,1,trans,0.6809636949,0.4478623615,0.6642922486
12.4,1,0,0.2598847827,1,refl,-0.3171482719,0.4595920672,0.3118078946
12.424,1,0,0.2603877855,1,trans,0.6787468927,0.4486228759,0.6619598292
12.424,1,0,0.2603877855,1,refl,-0.3193758809,0.4603770787,0.3139480079
12.448,1,0,0.2608907883,1,trans,0.6765070642,0.4493771669,0.659601646
12.448,1,0,0.2608907883,1,refl,-0.3216255123,0.4611556798,0.3161075312
12.472,1,0,0.2613937911,1,trans,0.6742438637,0.4501249692,0.6572172756
12.472,1,0,0.2613937911,1,refl,-0.3238975156,0.4619276313,0.3182867371
12.496,1,0,0.2618967939,1,trans,0.6719569456,0.4508660112,0.6548062968
12.496,1,0,0.2618967939,1,refl,-0.3261922446,0.462692687,0.320485903
12.52,1,0,0.2623997967,1,trans,0.6696459636,0.4516000145,0.6523682896
12.52,1,0,0.2623997967,1,refl,-0.3285100583,0.463450594,0.3227053114
12.544,1,0,0.2629027996,1,trans,0.6673105696,0.4523266942,0.6499028346
12.544,1,0,0.2629027996,1,refl,-0.330851321,0.4642010923,0.3249452507
12.568,1,0,0.2634058024,1,trans,0.6649504134,0.4530457588,0.6474095118
12.568,1,0,0.2634058024,1,refl,-0.3332164034,0.4649439148,0.3272060154
12.592,1,0,0.2639088052,1,trans,0.6625651411,0.4537569105,0.6448879
12.592,1,0,0.2639088052,1,refl,-0.3356056831,0.4656787868,0.329487907
12.616,1,0,0.264411808,1,trans,0.6601543948,0.4544598442,0.642337575
12.616,1,0,0.264411808,1,refl,-0.338019545,0.4664054259,0.3317912342
12.64,1,0,0.2649148108,1,trans,0.6577178112,0.4551542485,0.6397581091
12.64,1,0,0.2649148108,1,refl,-0.340458383,0.4671235419,0.334116314
12.664,1,0,0.2654178136,1,trans,0.6552550206,0.4558398046,0.6371490695
12.664,1,0,0.2654178136,1,refl,-0.3429226002,0.4678328361,0.3364634722
12.688,1,0,0.2659208164,1,trans,0.6527656457,0.4565161864,0.6345100166
12.688,1,0,0.2659208164,1,refl,-0.3454126098,0.4685330011,0.3388330441
12.712,1,0,0.2664238192,1,trans,0.6502493,0.4571830605,0.631840503
12.712,1,0,0.2664238192,1,refl,-0.3479288369,0.4692237207,0.3412253756
12.736,1,0,0.266926822,1,trans,0.6477055871,0.4578400853,0.6291400713
12.736,1,0,0.266926822,1,refl,-0.3504717186,0.4699046689,0.3436408234
12.76,1,0,0.2674298248,1,trans,0.6451340988,0.4584869109,0.626408253
12.76,1,0,0.2674298248,1,refl,-0.353041706,0.4705755099,0.3460797567
12.784,1,0,0.2679328276,1,trans,0.6425344137,0.4591231788,0.6236445661
12.784,1,0,0.2679328276,1,refl,-0.355639265,0.4712358973,0.3485425577
12.808,1,0,0.2684358304,1,trans,0.6399060954,0.4597485209,0.6208485134
12.808,1,0,0.2684358304,1,refl,-0.3582648778,0.4718854734,0.3510296227
12.832,1,0,0.2689388332,1,trans,0.6372486914,0.4603625591,0.6180195805
12.832,1,0,0.2689388332,1,refl,-0.3609190445,0.4725238688,0.3535413633
12.856,1,0,0.269441836,1,trans,0.6345617304,0.4609649048,0.6151572332
12.856,1,0,0.269441836,1,refl,-0.3636022842,0.4731507012,0.3560782072
12.88,1,0,0.2699448388,1,trans,0.6318447213,0.4615551577,0.6122609154
12.88,1,0,0.2699448388,1,refl,-0.3663151371,0.4737655752,0.3586405999
12.904,1,0,0.2704478416,1,trans,0.6290971505,0.462132905,0.6093300466
12.904,1,0,0.2704478416,1,refl,-0.369058166,0.4743680806,0.3612290058
12.928,1,0,0.2709508444,1,trans,0.6263184803,0.4626977205,0.6063640193
12.928,1,0,0.2709508444,1,refl,-0.3718319582,0.4749577921,0.3638439094
12.952,1,0,0.2714538472,1,trans,0.6235081463,0.4632491633,0.6033621958
12.952,1,0,0.2714538472,1,refl,-0.3746371275,0.4755342674,0.3664858168
12.976,1,0,0.27195685,1,trans,0.6206655554,0.4637867765,0.6003239057
12.976,1,0,0.27195685,1,refl,-0.3774743162,0.4760970468,0.3691552573
13,1,0,0.2724598529,1,trans,0.6177900828,0.4643100861,0.5972484425
13,1,0,0.2724598529,1,refl,-0.3803441975,0.476645651,0.3718527851
13.024,1,0,0.2729628557,1,trans,0.61488107,0.4648185989,0.5941350602
13.024,1,0,0.2729628557,1,refl,-0.3832474778,0.4771795799,0.3745789807
13.048,1,0,0.2734658585,1,trans,0.6119378217,0.465311801,0.5909829698
13.048,1,0,0.2734658585,1,refl,-0.3861848993,0.4776983111,0.3773344528
13.072,1,0,0.2739688613,1,trans,0.6089596028,0.4657891559,0.5877913355
13.072,1,0,0.2739688613,1,refl,-0.3891572424,0.4782012977,0.3801198404
13.096,1,0,0.2744718641,1,trans,0.6059456354,0.4662501024,0.584559271
13.096,1,0,0.2744718641,1,refl,-0.392165329,0.4786879663,0.3829358144
13.12,1,0,0.2749748669,1,trans,0.6028950959,0.4666940519,0.5812858348
13.12,1,0,0.2749748669,1,refl,-0.3952100253,0.479157715,0.3857830799
13.144,1,0,0.2754778697,1,trans,0.5998071109,0.4671203864,0.5779700257
13.144,1,0,0.2754778697,1,refl,-0.398292245,0.4796099104,0.3886623786
13.168,1,0,0.2759808725,1,trans,0.5966807542,0.4675284548,0.5746107785
13.168,1,0,0.2759808725,1,refl,-0.4014129529,0.4800438852,0.3915744905
13.192,1,0,0.2764838753,1,trans,0.5935150424,0.4679175706,0.5712069584
13.192,1,0,0.2764838753,1,refl,-0.4045731686,0.4804589352,0.3945202372
13.216,1,0,0.2769868781,1,trans,0.5903089311,0.4682870078,0.5677573558
13.216,1,0,0.2769868781,1,refl,-0.4077739701,0.4808543157,0.3975004836
13.24,1,0,0.2774898809,1,trans,0.5870613106,0.4686359972,0.5642606803
13.24,1,0,0.2774898809,1,refl,-0.4110164986,0.4812292376,0.4005161413
13.264,1,0,0.2779928837,1,trans,0.5837710012,0.4689637224,0.5607155547
13.264,1,0,0.2779928837,1,refl,-0.4143019623,0.4815828641,0.403568171
13.288,1,0,0.2784958865,1,trans,0.5804367481,0.4692693148,0.5571205084
13.288,1,0,0.2784958865,1,refl,-0.4176316418,0.4819143053,0.4066575859
13.312,1,0,0.2789988893,1,trans,0.5770572167,0.4695518487,0.55347397
13.312,1,0,0.2789988893,1,refl,-0.4210068947,0.4822226136,0.4097854544
13.336,1,0,0.2795018921,1,trans,0.5736309865,0.4698103355,0.5497742601
13.336,1,0,0.2795018921,1,refl,-0.4244291612,0.4825067782,0.4129529039
13.36,1,0,0.2800048949,1,trans,0.5701565455,0.4700437175,0.5460195828
13.36,1,0,0.2800048949,1,refl,-0.4278999701,0.482765719,0.4161611238
13.384,1,0,0.2805078977,1,trans,0.5666322839,0.4702508608,0.5422080172
13.384,1,0,0.2805078977,1,refl,-0.4314209449,0.4829982796,0.4194113697
13.408,1,0,0.2810109005,1,trans,0.5630564872,0.4704305477,0.538337508
13.408,1,0,0.2810109005,1,refl,-0.4349938102,0.48320322,0.4227049667
13.432,1,0,0.2815139033,1,trans,0.5594273291,0.4705814685,0.534405855
13.432,1,0,0.2815139033,1,refl,-0.4386203995,0.4833792084,0.4260433139
13.456,1,0,0.2820169062,1,trans,0.5557428639,0.4707022117,0.5304107029
13.456,1,0,0.2820169062,1,refl,-0.4423026622,0.4835248115,0.4294278883
13.48,1,0,0.282519909,1,trans,0.5520010182,0.4707912535,0.5263495285
13.48,1,0,0.282519909,1,refl,-0.4460426721,0.4836384847,0.4328602492
13.504,1,0,0.2830229118,1,trans,0.5481995821,0.4708469466,0.5222196289
13.504,1,0,0.2830229118,1,refl,-0.4498426363,0.4837185604,0.4363420431
13.528,1,0,0.2835259146,1,trans,0.5443361997,0.4708675068,0.5180181072
13.528,1,0,0.2835259146,1,refl,-0.4537049044,0.4837632352,0.439875008
13.552,1,0,0.2840289174,1,trans,0.5404083592,0.4708509988,0.5137418578
13.552,1,0,0.2840289174,1,refl,-0.4576319787,0.4837705559,0.4434609787
13.576,1,0,0.2845319202,1,trans,0.5364133819,0.4707953202,0.5093875498
13.576,1,0,0.2845319202,1,refl,-0.4616265252,0.4837384032,0.4471018916
13.6,1,0,0.285034923,1,trans,0.5323484105,0.4706981832,0.5049516099
